2019-12-15 23:20:40 INFO     Setup Contentful environment
2019-12-15 23:20:41 INFO     Get all ships from Contentful
2019-12-15 23:20:42 INFO     Number of ships in Contentful: 19
2019-12-15 23:20:42 INFO     Migrating data for ship MS Kong Harald
2019-12-15 23:20:43 INFO     Asset exists, skip asset ID: shippic-KH
2019-12-15 23:20:44 INFO     Ship MS Kong Harald image updated: shippic-KH
2019-12-15 23:20:45 INFO     Entry exists: PI
2019-12-15 23:20:46 INFO     Entry deleted: PI
2019-12-15 23:20:48 INFO     Entry added: PI
2019-12-15 23:20:48 INFO     Entry exists: PO
2019-12-15 23:20:50 INFO     Entry deleted: PO
2019-12-15 23:20:51 INFO     Entry added: PO
2019-12-15 23:20:51 INFO     Entry exists: AS
2019-12-15 23:20:53 INFO     Entry deleted: AS
2019-12-15 23:20:54 INFO     Entry added: AS
2019-12-15 23:20:55 INFO     Entry exists: ES
2019-12-15 23:20:56 INFO     Entry deleted: ES
2019-12-15 23:20:57 INFO     Entry added: ES
2019-12-15 23:20:58 INFO     Asset name: None, ID: shCabCatPic-KH-PI-0
2019-12-15 23:21:00 INFO     Asset added: shCabCatPic-KH-PI-0
2019-12-15 23:21:01 INFO     Asset name: None, ID: shCabCatPic-KH-PI-1
2019-12-15 23:21:02 INFO     Asset added: shCabCatPic-KH-PI-1
2019-12-15 23:21:03 INFO     Asset name: kong-harald-i2, ID: shCabGr-KH-i2-0
2019-12-15 23:21:04 INFO     Asset exists, skip asset ID: shCabGr-KH-i2-0
2019-12-15 23:21:04 INFO     Asset name: kong-harald-i2-2, ID: shCabGr-KH-i2-1
2019-12-15 23:21:04 INFO     Asset exists, skip asset ID: shCabGr-KH-i2-1
2019-12-15 23:21:04 INFO     Asset name: kong-harald-toilet-n2-n3-l2-i2, ID: shCabGr-KH-i2-2
2019-12-15 23:21:04 INFO     Asset exists, skip asset ID: shCabGr-KH-i2-2
2019-12-15 23:21:05 INFO     Entry exists: cg-KH-PI-i2
2019-12-15 23:21:06 INFO     Entry deleted: cg-KH-PI-i2
2019-12-15 23:21:07 INFO     Entry added: cg-KH-PI-i2
2019-12-15 23:21:08 INFO     Asset name: kong-harald-k3-1, ID: shCabGr-KH-k3-0
2019-12-15 23:21:08 INFO     Asset exists, skip asset ID: shCabGr-KH-k3-0
2019-12-15 23:21:08 INFO     Asset name: kong-harald-k3-2, ID: shCabGr-KH-k3-1
2019-12-15 23:21:08 INFO     Asset exists, skip asset ID: shCabGr-KH-k3-1
2019-12-15 23:21:08 INFO     Asset name: kong-harald-k3-3, ID: shCabGr-KH-k3-2
2019-12-15 23:21:08 INFO     Asset exists, skip asset ID: shCabGr-KH-k3-2
2019-12-15 23:21:08 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-k3-3
2019-12-15 23:21:09 INFO     Asset exists, skip asset ID: shCabGr-KH-k3-3
2019-12-15 23:21:09 INFO     Entry exists: cg-KH-PI-k3
2019-12-15 23:21:10 INFO     Entry deleted: cg-KH-PI-k3
2019-12-15 23:21:11 INFO     Entry added: cg-KH-PI-k3
2019-12-15 23:21:16 INFO     Entry exists: cg-KH-PI-uspi
2019-12-15 23:21:17 INFO     Entry deleted: cg-KH-PI-uspi
2019-12-15 23:21:19 INFO     Entry added: cg-KH-PI-uspi
2019-12-15 23:21:24 INFO     Entry exists: cg-KH-PI-uni3
2019-12-15 23:21:25 INFO     Entry deleted: cg-KH-PI-uni3
2019-12-15 23:21:26 INFO     Entry added: cg-KH-PI-uni3
2019-12-15 23:21:31 INFO     Entry exists: cg-KH-PI-uni1
2019-12-15 23:21:33 INFO     Entry deleted: cg-KH-PI-uni1
2019-12-15 23:21:34 INFO     Entry added: cg-KH-PI-uni1
2019-12-15 23:21:39 INFO     Entry exists: cg-KH-PI-CUI
2019-12-15 23:21:41 INFO     Entry deleted: cg-KH-PI-CUI
2019-12-15 23:21:42 INFO     Entry added: cg-KH-PI-CUI
2019-12-15 23:21:42 INFO     Entry exists: cabcatcont-KH-PI
2019-12-15 23:21:44 INFO     Entry deleted: cabcatcont-KH-PI
2019-12-15 23:21:45 INFO     Entry added: cabcatcont-KH-PI
2019-12-15 23:21:46 INFO     Asset name: None, ID: shCabCatPic-KH-PO-0
2019-12-15 23:21:47 INFO     Asset added: shCabCatPic-KH-PO-0
2019-12-15 23:21:49 INFO     Asset name: None, ID: shCabCatPic-KH-PO-1
2019-12-15 23:21:50 INFO     Asset added: shCabCatPic-KH-PO-1
2019-12-15 23:21:51 INFO     Asset name: None, ID: shCabCatPic-KH-PO-2
2019-12-15 23:21:52 INFO     Asset added: shCabCatPic-KH-PO-2
2019-12-15 23:21:53 INFO     Asset name: None, ID: shCabCatPic-KH-PO-3
2019-12-15 23:21:54 INFO     Asset added: shCabCatPic-KH-PO-3
2019-12-15 23:21:55 INFO     Asset name: kong-harald-j2d-1, ID: shCabGr-KH-j2d-0
2019-12-15 23:21:55 INFO     Asset exists, skip asset ID: shCabGr-KH-j2d-0
2019-12-15 23:21:55 INFO     Asset name: kong-harald-j2d-2, ID: shCabGr-KH-j2d-1
2019-12-15 23:21:56 INFO     Asset exists, skip asset ID: shCabGr-KH-j2d-1
2019-12-15 23:21:56 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-j2d-2
2019-12-15 23:21:56 INFO     Asset exists, skip asset ID: shCabGr-KH-j2d-2
2019-12-15 23:21:56 INFO     Entry exists: cg-KH-PO-j2d
2019-12-15 23:21:57 INFO     Entry deleted: cg-KH-PO-j2d
2019-12-15 23:21:58 INFO     Entry added: cg-KH-PO-j2d
2019-12-15 23:21:59 INFO     Asset name: kong-harald-o2-1, ID: shCabGr-KH-o2-0
2019-12-15 23:21:59 INFO     Asset exists, skip asset ID: shCabGr-KH-o2-0
2019-12-15 23:21:59 INFO     Asset name: kong-harald-o2-2, ID: shCabGr-KH-o2-1
2019-12-15 23:22:00 INFO     Asset exists, skip asset ID: shCabGr-KH-o2-1
2019-12-15 23:22:00 INFO     Asset name: kong-harald-toilet-n2-n3-l2-i2, ID: shCabGr-KH-o2-2
2019-12-15 23:22:00 INFO     Asset exists, skip asset ID: shCabGr-KH-o2-2
2019-12-15 23:22:00 INFO     Entry exists: cg-KH-PO-o2
2019-12-15 23:22:02 INFO     Entry deleted: cg-KH-PO-o2
2019-12-15 23:22:03 INFO     Entry added: cg-KH-PO-o2
2019-12-15 23:22:03 INFO     Asset name: kong-harald-o3-1, ID: shCabGr-KH-o3-0
2019-12-15 23:22:04 INFO     Asset exists, skip asset ID: shCabGr-KH-o3-0
2019-12-15 23:22:04 INFO     Asset name: kong-harald-o3-2, ID: shCabGr-KH-o3-1
2019-12-15 23:22:04 INFO     Asset exists, skip asset ID: shCabGr-KH-o3-1
2019-12-15 23:22:04 INFO     Asset name: kong-harald-o3-3, ID: shCabGr-KH-o3-2
2019-12-15 23:22:04 INFO     Asset exists, skip asset ID: shCabGr-KH-o3-2
2019-12-15 23:22:04 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-o3-3
2019-12-15 23:22:06 INFO     shCabGr-KH-o3-3 matches size to existing asset: shCabGr-KH-k3-3
2019-12-15 23:22:07 INFO     Linking shCabGr-KH-o3-3 to existing asset: shCabGr-KH-k3-3
2019-12-15 23:22:07 INFO     Entry exists: cg-KH-PO-o3
2019-12-15 23:22:08 INFO     Entry deleted: cg-KH-PO-o3
2019-12-15 23:22:10 INFO     Entry added: cg-KH-PO-o3
2019-12-15 23:22:10 INFO     Asset name: kong-harald-n3-1, ID: shCabGr-KH-n3-0
2019-12-15 23:22:11 INFO     Asset exists, skip asset ID: shCabGr-KH-n3-0
2019-12-15 23:22:11 INFO     Asset name: kong-harald-n3-2, ID: shCabGr-KH-n3-1
2019-12-15 23:22:11 INFO     Asset exists, skip asset ID: shCabGr-KH-n3-1
2019-12-15 23:22:11 INFO     Asset name: kong-harald-n3-3, ID: shCabGr-KH-n3-2
2019-12-15 23:22:11 INFO     Asset exists, skip asset ID: shCabGr-KH-n3-2
2019-12-15 23:22:11 INFO     Asset name: kong-harald-toilet-n2-n3-l2-i2, ID: shCabGr-KH-n3-3
2019-12-15 23:22:13 INFO     shCabGr-KH-n3-3 matches size to existing asset: shCabGr-KH-i2-2
2019-12-15 23:22:14 INFO     Linking shCabGr-KH-n3-3 to existing asset: shCabGr-KH-i2-2
2019-12-15 23:22:14 INFO     Entry exists: cg-KH-PO-n3
2019-12-15 23:22:15 INFO     Entry deleted: cg-KH-PO-n3
2019-12-15 23:22:17 INFO     Entry added: cg-KH-PO-n3
2019-12-15 23:22:17 INFO     Asset name: kong-harald-n2-1, ID: shCabGr-KH-n2-0
2019-12-15 23:22:17 INFO     Asset exists, skip asset ID: shCabGr-KH-n2-0
2019-12-15 23:22:17 INFO     Asset name: kong-harald-n2-2, ID: shCabGr-KH-n2-1
2019-12-15 23:22:18 INFO     Asset exists, skip asset ID: shCabGr-KH-n2-1
2019-12-15 23:22:18 INFO     Asset name: kong-harald-n2-3, ID: shCabGr-KH-n2-2
2019-12-15 23:22:18 INFO     Asset exists, skip asset ID: shCabGr-KH-n2-2
2019-12-15 23:22:18 INFO     Asset name: kong-harald-toilet-n2-n3-l2-i2, ID: shCabGr-KH-n2-3
2019-12-15 23:22:19 INFO     shCabGr-KH-n2-3 matches size to existing asset: shCabGr-KH-o2-2
2019-12-15 23:22:20 INFO     Linking shCabGr-KH-n2-3 to existing asset: shCabGr-KH-o2-2
2019-12-15 23:22:20 INFO     Entry exists: cg-KH-PO-n2
2019-12-15 23:22:22 INFO     Entry deleted: cg-KH-PO-n2
2019-12-15 23:22:23 INFO     Entry added: cg-KH-PO-n2
2019-12-15 23:22:24 INFO     Asset name: kong-harald-l2-1, ID: shCabGr-KH-l2-0
2019-12-15 23:22:24 INFO     Asset exists, skip asset ID: shCabGr-KH-l2-0
2019-12-15 23:22:24 INFO     Asset name: kong-harald-l2-2, ID: shCabGr-KH-l2-1
2019-12-15 23:22:24 INFO     Asset exists, skip asset ID: shCabGr-KH-l2-1
2019-12-15 23:22:24 INFO     Asset name: kong-harald-toilet-n2-n3-l2-i2, ID: shCabGr-KH-l2-2
2019-12-15 23:22:25 INFO     shCabGr-KH-l2-2 matches size to existing asset: shCabGr-KH-o2-2
2019-12-15 23:22:25 INFO     Linking shCabGr-KH-l2-2 to existing asset: shCabGr-KH-o2-2
2019-12-15 23:22:26 INFO     Entry exists: cg-KH-PO-l2
2019-12-15 23:22:27 INFO     Entry deleted: cg-KH-PO-l2
2019-12-15 23:22:28 INFO     Entry added: cg-KH-PO-l2
2019-12-15 23:22:29 INFO     Entry exists: cg-KH-PO-l3
2019-12-15 23:22:30 INFO     Entry deleted: cg-KH-PO-l3
2019-12-15 23:22:31 INFO     Entry added: cg-KH-PO-l3
2019-12-15 23:22:31 INFO     Asset name: kong-harald-j3-1, ID: shCabGr-KH-j3-0
2019-12-15 23:22:32 INFO     Asset exists, skip asset ID: shCabGr-KH-j3-0
2019-12-15 23:22:32 INFO     Asset name: kong-harald-j3-2, ID: shCabGr-KH-j3-1
2019-12-15 23:22:32 INFO     Asset exists, skip asset ID: shCabGr-KH-j3-1
2019-12-15 23:22:32 INFO     Asset name: kong-harald-j3-3, ID: shCabGr-KH-j3-2
2019-12-15 23:22:32 INFO     Asset exists, skip asset ID: shCabGr-KH-j3-2
2019-12-15 23:22:32 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-j3-3
2019-12-15 23:22:34 INFO     shCabGr-KH-j3-3 matches size to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:22:34 INFO     Linking shCabGr-KH-j3-3 to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:22:34 INFO     Entry exists: cg-KH-PO-j3
2019-12-15 23:22:35 INFO     Entry deleted: cg-KH-PO-j3
2019-12-15 23:22:36 INFO     Entry added: cg-KH-PO-j3
2019-12-15 23:22:37 INFO     Asset name: kong-harald-go-1, ID: shCabGr-KH-sd-0
2019-12-15 23:22:37 INFO     Asset exists, skip asset ID: shCabGr-KH-sd-0
2019-12-15 23:22:37 INFO     Asset name: kong-harald-go-2, ID: shCabGr-KH-sd-1
2019-12-15 23:22:37 INFO     Asset exists, skip asset ID: shCabGr-KH-sd-1
2019-12-15 23:22:37 INFO     Asset name: kong-harald-go-3, ID: shCabGr-KH-sd-2
2019-12-15 23:22:38 INFO     Asset exists, skip asset ID: shCabGr-KH-sd-2
2019-12-15 23:22:38 INFO     Asset name: kong-harald-go-4, ID: shCabGr-KH-sd-3
2019-12-15 23:22:38 INFO     Asset exists, skip asset ID: shCabGr-KH-sd-3
2019-12-15 23:22:39 INFO     Entry exists: cg-KH-PO-sd
2019-12-15 23:22:40 INFO     Entry deleted: cg-KH-PO-sd
2019-12-15 23:22:41 INFO     Entry added: cg-KH-PO-sd
2019-12-15 23:22:46 INFO     Entry exists: cg-KH-PO-uno3
2019-12-15 23:22:47 INFO     Entry deleted: cg-KH-PO-uno3
2019-12-15 23:22:48 INFO     Entry added: cg-KH-PO-uno3
2019-12-15 23:22:53 INFO     Entry exists: cg-KH-PO-uspo
2019-12-15 23:22:55 INFO     Entry deleted: cg-KH-PO-uspo
2019-12-15 23:22:56 INFO     Entry added: cg-KH-PO-uspo
2019-12-15 23:23:01 INFO     Entry exists: cg-KH-PO-uspl
2019-12-15 23:23:02 INFO     Entry deleted: cg-KH-PO-uspl
2019-12-15 23:23:04 INFO     Entry added: cg-KH-PO-uspl
2019-12-15 23:23:09 INFO     Entry exists: cg-KH-PO-unl1
2019-12-15 23:23:10 INFO     Entry deleted: cg-KH-PO-unl1
2019-12-15 23:23:11 INFO     Entry added: cg-KH-PO-unl1
2019-12-15 23:23:16 INFO     Entry exists: cg-KH-PO-unt1
2019-12-15 23:23:17 INFO     Entry deleted: cg-KH-PO-unt1
2019-12-15 23:23:19 INFO     Entry added: cg-KH-PO-unt1
2019-12-15 23:23:24 INFO     Entry exists: cg-KH-PO-uspt
2019-12-15 23:23:25 INFO     Entry deleted: cg-KH-PO-uspt
2019-12-15 23:23:27 INFO     Entry added: cg-KH-PO-uspt
2019-12-15 23:23:32 INFO     Entry exists: cg-KH-PO-unl3
2019-12-15 23:23:34 INFO     Entry deleted: cg-KH-PO-unl3
2019-12-15 23:23:35 INFO     Entry added: cg-KH-PO-unl3
2019-12-15 23:23:40 INFO     Entry exists: cg-KH-PO-unt3
2019-12-15 23:23:41 INFO     Entry deleted: cg-KH-PO-unt3
2019-12-15 23:23:43 INFO     Entry added: cg-KH-PO-unt3
2019-12-15 23:23:48 INFO     Entry exists: cg-KH-PO-CUO
2019-12-15 23:23:49 INFO     Entry deleted: cg-KH-PO-CUO
2019-12-15 23:23:51 INFO     Entry added: cg-KH-PO-CUO
2019-12-15 23:23:56 INFO     Entry exists: cg-KH-PO-CUA
2019-12-15 23:23:57 INFO     Entry deleted: cg-KH-PO-CUA
2019-12-15 23:23:59 INFO     Entry added: cg-KH-PO-CUA
2019-12-15 23:24:03 INFO     Entry exists: cg-KH-PO-CUL
2019-12-15 23:24:05 INFO     Entry deleted: cg-KH-PO-CUL
2019-12-15 23:24:06 INFO     Entry added: cg-KH-PO-CUL
2019-12-15 23:24:06 INFO     Entry exists: cabcatcont-KH-PO
2019-12-15 23:24:08 INFO     Entry deleted: cabcatcont-KH-PO
2019-12-15 23:24:09 INFO     Entry added: cabcatcont-KH-PO
2019-12-15 23:24:10 INFO     Asset name: None, ID: shCabCatPic-KH-AS-0
2019-12-15 23:24:11 INFO     Asset added: shCabCatPic-KH-AS-0
2019-12-15 23:24:12 INFO     Asset name: None, ID: shCabCatPic-KH-AS-1
2019-12-15 23:24:14 INFO     Asset added: shCabCatPic-KH-AS-1
2019-12-15 23:24:15 INFO     Asset name: kong-harald-u2d-1, ID: shCabGr-KH-u2d-0
2019-12-15 23:24:15 INFO     Asset exists, skip asset ID: shCabGr-KH-u2d-0
2019-12-15 23:24:15 INFO     Asset name: kong-harald-u2d-2, ID: shCabGr-KH-u2d-1
2019-12-15 23:24:15 INFO     Asset exists, skip asset ID: shCabGr-KH-u2d-1
2019-12-15 23:24:15 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-u2d-2
2019-12-15 23:24:16 INFO     shCabGr-KH-u2d-2 matches size to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:24:16 INFO     Linking shCabGr-KH-u2d-2 to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:24:17 INFO     Entry exists: cg-KH-AS-u2d
2019-12-15 23:24:18 INFO     Entry deleted: cg-KH-AS-u2d
2019-12-15 23:24:19 INFO     Entry added: cg-KH-AS-u2d
2019-12-15 23:24:20 INFO     Asset name: kong-harald-p2d-1, ID: shCabGr-KH-p2d-0
2019-12-15 23:24:20 INFO     Asset exists, skip asset ID: shCabGr-KH-p2d-0
2019-12-15 23:24:20 INFO     Asset name: kong-harald-p2d-2, ID: shCabGr-KH-p2d-1
2019-12-15 23:24:20 INFO     Asset exists, skip asset ID: shCabGr-KH-p2d-1
2019-12-15 23:24:20 INFO     Asset name: kong-harald-toilet-u2d-k3-o2-o3-j2d-j3-p2d, ID: shCabGr-KH-p2d-2
2019-12-15 23:24:21 INFO     shCabGr-KH-p2d-2 matches size to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:24:21 INFO     Linking shCabGr-KH-p2d-2 to existing asset: shCabGr-KH-j2d-2
2019-12-15 23:24:22 INFO     Entry exists: cg-KH-AS-p2d
2019-12-15 23:24:23 INFO     Entry deleted: cg-KH-AS-p2d
2019-12-15 23:24:24 INFO     Entry added: cg-KH-AS-p2d
2019-12-15 23:24:29 INFO     Entry exists: cg-KH-AS-uspb
2019-12-15 23:24:30 INFO     Entry deleted: cg-KH-AS-uspb
2019-12-15 23:24:32 INFO     Entry added: cg-KH-AS-uspb
2019-12-15 23:24:36 INFO     Entry exists: cg-KH-AS-uspd
2019-12-15 23:24:38 INFO     Entry deleted: cg-KH-AS-uspd
2019-12-15 23:24:39 INFO     Entry added: cg-KH-AS-uspd
2019-12-15 23:24:44 INFO     Entry exists: cg-KH-AS-uspb
2019-12-15 23:24:45 INFO     Entry deleted: cg-KH-AS-uspb
2019-12-15 23:24:46 INFO     Entry added: cg-KH-AS-uspb
2019-12-15 23:24:51 INFO     Entry exists: cg-KH-AS-unb3
2019-12-15 23:24:52 INFO     Entry deleted: cg-KH-AS-unb3
2019-12-15 23:24:53 INFO     Entry added: cg-KH-AS-unb3
2019-12-15 23:24:54 INFO     Entry exists: cabcatcont-KH-AS
2019-12-15 23:24:55 INFO     Entry deleted: cabcatcont-KH-AS
2019-12-15 23:24:56 INFO     Entry added: cabcatcont-KH-AS
2019-12-15 23:24:57 INFO     Asset name: None, ID: shCabCatPic-KH-ES-0
2019-12-15 23:24:59 INFO     Asset added: shCabCatPic-KH-ES-0
2019-12-15 23:25:00 INFO     Asset name: None, ID: shCabCatPic-KH-ES-1
2019-12-15 23:25:01 INFO     Asset added: shCabCatPic-KH-ES-1
2019-12-15 23:25:01 INFO     Asset name: kong-harald-m4-1, ID: shCabGr-KH-m3-0
2019-12-15 23:25:02 INFO     Asset exists, skip asset ID: shCabGr-KH-m3-0
2019-12-15 23:25:02 INFO     Asset name: kong-harald-m4-2, ID: shCabGr-KH-m3-1
2019-12-15 23:25:02 INFO     Asset exists, skip asset ID: shCabGr-KH-m3-1
2019-12-15 23:25:02 INFO     Asset name: kong-harald-m4-3, ID: shCabGr-KH-m3-2
2019-12-15 23:25:02 INFO     Asset exists, skip asset ID: shCabGr-KH-m3-2
2019-12-15 23:25:02 INFO     Asset name: kong-harald-m4-4, ID: shCabGr-KH-m3-3
2019-12-15 23:25:02 INFO     Asset exists, skip asset ID: shCabGr-KH-m3-3
2019-12-15 23:25:02 INFO     Asset name: kong-harald-toilet-m4, ID: shCabGr-KH-m3-4
2019-12-15 23:25:03 INFO     Asset exists, skip asset ID: shCabGr-KH-m3-4
2019-12-15 23:25:03 INFO     Entry exists: cg-KH-ES-m3
2019-12-15 23:25:04 INFO     Entry deleted: cg-KH-ES-m3
2019-12-15 23:25:05 INFO     Entry added: cg-KH-ES-m3
2019-12-15 23:25:10 INFO     Entry exists: cg-KH-ES-uns4
2019-12-15 23:25:12 INFO     Entry deleted: cg-KH-ES-uns4
2019-12-15 23:25:13 INFO     Entry added: cg-KH-ES-uns4
2019-12-15 23:25:18 INFO     Entry exists: cg-KH-ES-usps
2019-12-15 23:25:19 INFO     Entry deleted: cg-KH-ES-usps
2019-12-15 23:25:20 INFO     Entry added: cg-KH-ES-usps
2019-12-15 23:25:21 INFO     Entry exists: cabcatcont-KH-ES
2019-12-15 23:25:22 INFO     Entry deleted: cabcatcont-KH-ES
2019-12-15 23:25:23 INFO     Entry added: cabcatcont-KH-ES
2019-12-15 23:25:25 INFO     Ship MS Kong Harald cabin categories updated
2019-12-15 23:25:25 INFO     Asset name: None, ID: deckPic-KH-2
2019-12-15 23:25:26 INFO     Asset name: None, ID: deckPic-KH-2
2019-12-15 23:25:27 INFO     Asset added: deckPic-KH-2
2019-12-15 23:25:27 INFO     Entry exists: dplan-KH-2
2019-12-15 23:25:29 INFO     Entry deleted: dplan-KH-2
2019-12-15 23:25:30 INFO     Entry added: dplan-KH-2
2019-12-15 23:25:30 INFO     Asset name: None, ID: deckPic-KH-3
2019-12-15 23:25:31 INFO     Asset name: None, ID: deckPic-KH-3
2019-12-15 23:25:32 INFO     Asset added: deckPic-KH-3
2019-12-15 23:25:32 INFO     Entry exists: dplan-KH-3
2019-12-15 23:25:34 INFO     Entry deleted: dplan-KH-3
2019-12-15 23:25:35 INFO     Entry added: dplan-KH-3
2019-12-15 23:25:35 INFO     Asset name: None, ID: deckPic-KH-4
2019-12-15 23:25:36 INFO     Asset name: None, ID: deckPic-KH-4
2019-12-15 23:25:37 INFO     Asset added: deckPic-KH-4
2019-12-15 23:25:37 INFO     Entry exists: dplan-KH-4
2019-12-15 23:25:39 INFO     Entry deleted: dplan-KH-4
2019-12-15 23:25:40 INFO     Entry added: dplan-KH-4
2019-12-15 23:25:40 INFO     Asset name: None, ID: deckPic-KH-5
2019-12-15 23:25:41 INFO     Asset name: None, ID: deckPic-KH-5
