2019-12-15 20:06:31 INFO     Setup Contentful environment
2019-12-15 20:06:32 INFO     Get all excursions
2019-12-15 20:06:32 INFO     Number of excursions in EPI: 560
2019-12-15 20:06:32 INFO     Excursion migration started with ID: 31066
2019-12-15 20:06:32 INFO     Asset name: Visit the World Heritage Center in Vega, ID: 31066
2019-12-15 20:06:33 INFO     Asset exists, skip asset ID: excp31066
2019-12-15 20:06:33 INFO     Entry exists: 31066
2019-12-15 20:06:34 INFO     Entry deleted: 31066
2019-12-15 20:06:35 INFO     Entry added: 31066
2019-12-15 20:06:35 INFO     Excursion migration started with ID: 31067
2019-12-15 20:06:35 INFO     Excursion migration finished with ID: 31066
2019-12-15 20:06:35 INFO     Asset name: 10C Visit The Salmon, ID: 31067
2019-12-15 20:06:36 INFO     excp31067 matches size to existing asset: 6pmy2jS0rvY3TAxj0E3t4j
2019-12-15 20:06:37 INFO     Linking excp31067 to existing asset: 6pmy2jS0rvY3TAxj0E3t4j
2019-12-15 20:06:37 INFO     Entry exists: 31067
2019-12-15 20:06:38 INFO     Entry deleted: 31067
2019-12-15 20:06:40 INFO     Entry added: 31067
2019-12-15 20:06:40 INFO     Excursion migration started with ID: 31585
2019-12-15 20:06:40 INFO     Excursion migration finished with ID: 31067
2019-12-15 20:06:40 INFO     Asset name: 11A Trondheim With Nidaros Cathedral, ID: 31585
2019-12-15 20:06:41 INFO     excp31585 matches size to existing asset: 10IyQVRnd2kfL0kamfhjJA
2019-12-15 20:06:41 INFO     Linking excp31585 to existing asset: 10IyQVRnd2kfL0kamfhjJA
2019-12-15 20:06:42 INFO     Entry exists: 31585
2019-12-15 20:06:43 INFO     Entry deleted: 31585
2019-12-15 20:06:44 INFO     Entry added: 31585
2019-12-15 20:06:44 INFO     Excursion migration started with ID: 31587
2019-12-15 20:06:44 INFO     Excursion migration finished with ID: 31585
2019-12-15 20:06:44 INFO     Asset name: 11C The Atlantic Road, ID: 31587
2019-12-15 20:06:44 INFO     Asset exists, skip asset ID: excp31587
2019-12-15 20:06:45 ERROR    Entry not found: 31587, can't be deleted
2019-12-15 20:06:46 INFO     Entry added: 31587
2019-12-15 20:06:46 INFO     Excursion migration started with ID: 31588
2019-12-15 20:06:46 INFO     Excursion migration finished with ID: 31587
2019-12-15 20:06:46 INFO     Asset name: 11E Bergtatt- Magnificent Marble Mine, ID: 31588
2019-12-15 20:06:47 INFO     Asset exists, skip asset ID: excp31588
2019-12-15 20:06:47 INFO     Entry exists: 31588
2019-12-15 20:06:48 INFO     Entry deleted: 31588
2019-12-15 20:06:49 INFO     Entry added: 31588
2019-12-15 20:06:49 INFO     Excursion migration started with ID: 31563
2019-12-15 20:06:49 INFO     Excursion migration finished with ID: 31588
2019-12-15 20:06:49 INFO     Asset name: 2B Geiranger With Trollstigen Pass, ID: 31563
2019-12-15 20:06:49 INFO     Asset exists, skip asset ID: excp31563
2019-12-15 20:06:50 INFO     Entry exists: 31563
2019-12-15 20:06:52 INFO     Entry deleted: 31563
2019-12-15 20:06:53 INFO     Entry added: 31563
2019-12-15 20:06:53 INFO     Excursion migration started with ID: 31566
2019-12-15 20:06:53 INFO     Excursion migration finished with ID: 31563
2019-12-15 20:06:53 INFO     Asset name: 2C Art Nouveau Walk, ID: 31566
2019-12-15 20:06:54 INFO     Asset exists, skip asset ID: excp31566
2019-12-15 20:06:54 INFO     Entry exists: 31566
2019-12-15 20:06:55 INFO     Entry deleted: 31566
2019-12-15 20:06:57 INFO     Entry added: 31566
2019-12-15 20:06:57 INFO     Excursion migration started with ID: 31564
2019-12-15 20:06:57 INFO     Excursion migration finished with ID: 31566
2019-12-15 20:06:57 INFO     Asset name: 2D Atlanterhavsparken Aquarium And Mount Aksla, ID: 31564
2019-12-15 20:06:57 INFO     Asset exists, skip asset ID: excp31564
2019-12-15 20:06:57 INFO     Entry exists: 31564
2019-12-15 20:06:58 INFO     Entry deleted: 31564
2019-12-15 20:07:00 INFO     Entry added: 31564
2019-12-15 20:07:00 INFO     Excursion migration started with ID: 31567
2019-12-15 20:07:00 INFO     Excursion migration finished with ID: 31564
2019-12-15 20:07:00 INFO     Asset name: 2E Art Nouveau Walk, ID: 31567
2019-12-15 20:07:00 INFO     Asset exists, skip asset ID: excp31567
2019-12-15 20:07:00 INFO     Entry exists: 31567
2019-12-15 20:07:02 INFO     Entry deleted: 31567
2019-12-15 20:07:03 INFO     Entry added: 31567
2019-12-15 20:07:03 INFO     Excursion migration started with ID: 31060
2019-12-15 20:07:03 INFO     Excursion migration finished with ID: 31567
2019-12-15 20:07:03 INFO     Asset name: 2F A Taste Of Norway, ID: 31060
2019-12-15 20:07:04 INFO     Asset exists, skip asset ID: excp31060
2019-12-15 20:07:04 INFO     Entry exists: 31060
2019-12-15 20:07:05 INFO     Entry deleted: 31060
