2020-01-09 08:31:48 INFO     Setup Contentful environment
2020-01-09 08:31:49 INFO     Get all voyages
2020-01-09 08:31:50 INFO     Number of voyages in EPI: 142
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20940
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20941
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20942
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20943
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20950
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 20987
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 24540
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 25007
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 25990
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26028
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26150
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26167
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26307
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26393
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26482
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26495
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 26505
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 28078
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 28265
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:50 INFO     Voyage migration started with ID: 28270
2020-01-09 08:31:50 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 28275
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 28280
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 28721
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 34046
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 34464
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 35896
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 35950
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36009
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36042
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36328
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36762
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36818
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36845
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36877
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36914
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36957
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 36978
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37009
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37048
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37098
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37204
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37225
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37245
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37287
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37341
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37421
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37590
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 37617
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 38695
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 38842
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 38953
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
